report_begin_date,report_end_date,report_date,published_Date,market_type,state,city,slug_id,slug_name,report_title,final_ind,report_narrative,special_notes,_section,published_date,office_name,office_state,office_city,market_location_name,market_location_state,market_location_city,group,category,commodity,variety,repack,package,storage,transportation_mode,grade,unit_sales,item_size,appearance,quality,condition,organic,crop,origin,district,environment,properties,low_price,high_price,mostly_low_price,mostly_high_price,market_tone_comments,offerings_comments,reporter_comment,commodity_comments,report_footnotes
01/08/2026,01/08/2026,01/08/2026,01/08/2026 13:44:49,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 50
YESTERDAY'S HIGH  66",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2026,01/07/2026,01/07/2026,01/07/2026 13:43:27,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 53
YESTERDAY'S HIGH  66",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2026,01/06/2026,01/06/2026,01/06/2026 13:41:06,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 55
YESTERDAY'S HIGH  63",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2026,01/05/2026,01/05/2026,01/05/2026 13:11:53,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 55
YESTERDAY'S HIGH  63",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2026,01/02/2026,01/02/2026,01/02/2026 14:01:04,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Mostly Sunny 54
YESTERDAY'S HIGH 66",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2025,12/31/2025,12/31/2025,12/31/2025 13:29:33,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Passing Clouds 66
YESTERDAY'S HIGH 74

*** No reports will be issued Thursday, January 1, 2026, in observance of New Year's Day.  Next report will Friday, January 2, 2026 ***",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2025,12/30/2025,12/30/2025,12/30/2025 13:59:49,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Overcast 63
YESTERDAY'S HIGH 76",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2025,12/29/2025,12/29/2025,12/29/2025 13:09:59,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 46
YESTERDAY'S HIGH 70

Market tones omitted as the Market News office was closed December 24-26, 2025, in observance of the Christmas Day federal holiday while the market remained open for business.",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/2025,12/23/2025,12/23/2025,12/23/2025 12:24:25,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Scattered Clouds 60
YESTERDAY'S HIGH 66

*** No reports will be issued Wednesday through Friday, December 24-26, 2025, in observance of Christmas holiday *** 
*** The Los Angeles Wholesale Produce Market will be open for business.  Next report will be Monday, December 29th, 2025 ***",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2025,12/22/2025,12/22/2025,12/22/2025 12:12:13,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Fog 52
YESTERDAY'S HIGH 65",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2025,12/19/2025,12/19/2025,12/19/2025 13:59:54,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Fog 53
YESTERDAY'S HIGH 73",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
